Movie_Title,Release_Year,Production_Company_Name,Company_Name_(Wikipedia),Company_HQ,Company_Founded_Year
Cat Ballou,1965,Harold Hecht Corporation,Harold Hecht,,
The Great Race,1965,Jalem Productions,Jack Lemmon,,
The Great Race,1965,Reynard Productions,Tony Curtis,,
The Great Race,1965,Patricia Productions,Blake Edwards,,
The Dot and the Line,1965,MGM Animation/Visual Arts,MGM Animation/Visual Arts,"Culver City, California, U.S.",1962
The Sandpiper,1965,Filmways,Filmways,"Sonoma County, California",1952
The Shop on Main Street,1965,Barrandov Studios,Barrandov Studios,"Prague, Czechia",1931
Thunderball,1965,Eon Productions,Eon Productions,"London, United Kingdom",1961
To Be Alive!,1964,Francis Thompson Productions,Francis Thompson Productions,,
The Agony and the Ecstasy,1965,International Classics,International Classics,,
The Greatest Story Ever Told,1965,George Stevens Productions,George Stevens Productions,,
Othello,1965,National Theatre of Great Britain,Royal National Theatre,,
The Flight of the Phoenix,1965,An Associates and Aldrich Company Production,An Associates and Aldrich Company Production,,
The Slender Thread,1965,Athene Productions,Athene Productions,,
The Spy Who Came In from the Cold,1965,Salem Films Limited,Salem Films Limited,,
A Rage to Live,1965,The Mirisch Corporation,,,
Kwaidan,1964,[1],,,
Let My People Go: The Story of Israel,1965,David L. Wolper Productions,David L. Wolper,,
Mural on Our Street,1965,Henry Street Settlement,Henry Street Settlement,,
Point of View,1965,Vision Associates Productions,Vision Associates Productions,,
Shenandoah,1965,Universal Pictures,Universal Pictures,,
The Battle of the Bulge... The Brave Rifles,1965,Mascott Productions,Mascott Productions,,
The Forth Road Bridge,1965,Random Productions,Random Productions,,
The Pawnbroker,1964,Landau Company,Ely Landau,,
The Train,1964,Les Productions Artistes Associés,United Artists,"Culver City, California, United States",1919
The Train,1964,Les Films Ariane,,,
The Train,1964,[1],,,
Those Magnificent Men in Their Flying Machines,1965,Twentieth Century-Fox Productions Ltd,20th Century Studios,"Fox Studio Lot Building 88, 10201 West Pico Boulevard, Century City, Los Angeles, California, United States",1935
Those Magnificent Men in Their Flying Machines,1965,[1],,,
Time Piece,1965,"Muppets, Inc.",The Jim Henson Company,"Jim Henson Company Lot, Los Angeles, California, U.S.",1958
Time Piece,1965,[3],,,
What's New Pussycat?,1965,Famous Artists Productions,Famous Artists Productions,,
What's New Pussycat?,1965,Famartists Productions S.A.,Famartists Productions S.A.,,
A Man for All Seasons,1966,Highland Films,Highland Films,,
Grand Prix,1966,Joel Productions,Bryna Productions,"141 El Camino Drive, Suite 209, Beverly Hills, California, United States",1949
Grand Prix,1966,John Frankenheimer Productions,John Frankenheimer,,
A Man and a Woman,1966,Les Films 13,Les Films 13,,
Born Free,1966,Shepperton Studios,Shepperton Studios,"Shepperton, Surrey, England",1931
The Fortune Cookie,1966,The Mirisch Corporation,,,
The Fortune Cookie,1966,Jalem Productions,Jack Lemmon,,
The Fortune Cookie,1966,[1],,,
The Fortune Cookie,1966,[2],,,
A Herb Alpert and the Tijuana Brass Double Feature,1966,Hubley Studios,Hubley Studios,,
A Year Toward Tomorrow,1966,Sun Dial Films,Sun Dial Films,,
The War Game,1966,BBC,BBC,"Broadcasting HouseLondon, England",1922
The Sand Pebbles,1966,A Robert Wise Production,Robert Wise,,
Hawaii,1966,The Mirisch Corporation,,,
Alfie,1966,Sheldrake Films,Sheldrake Films,,
Georgy Girl,1966,Everglades Productions,Everglades Productions,,
"The Russians Are Coming, the Russians Are Coming",1966,The Mirisch Corporation,,,
Gambit,1966,Universal Pictures,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
The Gospel According to St. Matthew,1964,Arco Film,Arco Film,,
The Gospel According to St. Matthew,1964,Lux Compagnie Cinématographique,Lux Compagnie Cinématographique,,
The Professionals,1966,Pax Enterprises,Richard Brooks,,
Blowup,1966,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Is Paris Burning?,1966,Seven Arts Productions,Seven Arts Productions,,1957
Juliet of the Spirits,1965,Federiz,Federiz,,
Juliet of the Spirits,1965,Francoriz Production,Francoriz Production,,
Mister Buddwing,1966,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
The Oscar,1966,Greene-Rouse Productions,Greene-Rouse Productions,,
An American Dream,1966,William Conrad Productions,William Conrad Productions,,
Helicopter Canada,1966,National Film Board of Canada,National Film Board of Canada,"Montreal, Quebec, Canada",1939
Mandragola,1965,Arco Film,,,
Return of the Seven,1966,Mirisch Productions,,,
Seconds,1966,Joel Productions,Bryna Productions,"141 El Camino Drive, Suite 209, Beverly Hills, California, United States",1949
Seconds,1966,Gibraltar Productions,Rock Hudson,,
The Battle of Algiers,1966,Igor Film,Igor Film,,
The Battle of Algiers,1966,Casbah Film,Casbah Film,,
The Bible: In the Beginning...,1966,Dino de Laurentiis Cinematografica,Dino De Laurentiis,,
The Bible: In the Beginning...,1966,Seven Arts Productions,Seven Arts Productions,,1957
The Bible: In the Beginning...,1966,[1],,,
The Drag,,National Film Board of Canada,National Film Board of Canada,"Montreal, Quebec, Canada",1939
The Face of a Genius,1966,WBZ-TV,WBZ-TV,,
The Really Big Family,1966,David L. Wolper Productions,David L. Wolper,,
You're a Big Boy Now,1966,Seven Arts Productions,Seven Arts Productions,,1957
In the Heat of the Night,1967,The Mirisch Corporation,,,
Camelot,1967,Warner Bros.-Seven Arts,Warner Bros.-Seven Arts,"4000 Warner Boulevard, Burbank, California, United States",1967
Camelot,1967,[2],,,
Bonnie and Clyde,1967,Warner Bros. Pictures,Warner Bros. Pictures,"4000 Warner Boulevard, Burbank, California, U.S.",1910
Doctor Dolittle,1967,APJAC Productions,Arthur P. Jacobs,,
The Graduate,1967,Lawrence Turman Productions,Lawrence Turman Productions,,
Thoroughly Modern Millie,1967,Ross Hunter Productions,Ross Hunter Productions,,
Cool Hand Luke,1967,Jalem Productions,Jack Lemmon,,
The Dirty Dozen,1967,Kenneth Hyman,,,
Closely Watched Trains,1966,Barrandov Studios,Barrandov Studios,"Prague, Czechia",1931
The Box,1967,Murakami-Wolf Productions,Murakami-Wolf Productions,,
The Redwoods,1967,King Screen Productions,King Broadcasting Company,"Seattle, Washington, United States",1946
In Cold Blood,1967,Pax Enterprises,Richard Brooks,,
A Time for Burning,1966,Quest Productions,Quest Productions,,
A Time for Burning,1966,Avernus Productions,Avernus Productions,,
Banning,1967,Universal Pictures,Universal Pictures,,
Barefoot in the Park,1967,Hal Wallis Productions,Hal B. Wallis,,
Beach Red,1967,"Theodora Productions, Inc.","Theodora Productions, Inc.",,
Casino Royale,1967,[1],,,
Divorce American Style,1967,Tandem Productions,Tandem Productions,United States,1958
Far from the Madding Crowd,1967,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Festival,1967,Patchke Productions,Patchke Productions,,
Monument to the Dream,1967,National Park Service,National Park Service,"Main Interior Building1849 C Street NWWashington, D.C.20240, U.S.",
Paddle to the Sea,1966,National Film Board of Canada,National Film Board of Canada,"Montreal, Quebec, Canada",1939
Portrait of Chieko,1967,Shochiku,Shochiku,"Tsukiji 4-1-1, Chūō, Tokyo, Japan",1895
See You at the Pillar,1967,Associated British Pathé,Pathé News,United Kingdom,1910
The Happiest Millionaire,1967,Walt Disney Productions,Walt Disney Pictures,"500 South Buena Vista Street, Burbank, California, U.S.",1923
The Jungle Book,1967,Walt Disney Productions,The Walt Disney Company,"The Walt Disney Studios, Burbank, California, United States",1923
The War Is Over,1966,Sofracima,,,
The Whisperers,1967,Lopert Pictures Corporation,,,
Tobruk,1967,Gibraltar Productions,Rock Hudson,,
Two for the Road,1967,Stanley Donen Films,Stanley Donen Films,,
Ulysses,1967,Laser Film Corporation,Laser Film Corporation,,
Ulysses,1967,Ulysses Film Production,Ulysses Film Production,,
Valley of the Dolls,1967,Red Lion Productions,Red Lion Productions,,
Wait Until Dark,1967,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
What on Earth!,,National Film Board of Canada,National Film Board of Canada,"Montreal, Quebec, Canada",1939
While I Run This Race,1967,Sun Dial Films,Sun Dial Films,,
Oliver!,1968,Romulus Films,,,
The Lion in Winter,1968,Haworth Productions,Haworth Productions,,
Romeo and Juliet,1968,Dino De Laurentiis Cinematografica,Dino De Laurentiis,,
Funny Girl,1968,Rastar,Ray Stark,,
2001: A Space Odyssey,1968,Stanley Kubrick Productions,Hawk Films,"London, England, United Kingdom",1964
Bullitt,1968,Solar Productions,Steve McQueen,,
Rosemary's Baby,1968,[1],,,
The Thomas Crown Affair,1968,The Mirisch Corporation,,,
The Thomas Crown Affair,1968,Simkoe,Norman Jewison,,
The Thomas Crown Affair,1968,Solar Productions,Steve McQueen,,
Charly,1968,ABC Pictures,List of production companies owned by the American Broadcasting Company,,1992
Journey into Self,1968,Western Behavioral Sciences Institute,,,
Journey into Self,1968,San Diego State University,San Diego State University,,1897
Robert Kennedy Remembered,1968,Guggenheim Productions,Guggenheim Productions,,
Robert Kennedy Remembered,1968,National General Pictures,National General Pictures,,
Why Man Creates,1968,Kaiser Aluminum,Kaiser Aluminum,"Franklin, Tennessee, U.S.",1946
Why Man Creates,1968,Saul Bass,Saul Bass,,
Why Man Creates,1968,[1],,,
Winnie the Pooh and the Blustery Day,1968,Walt Disney Productions,The Walt Disney Company,"The Walt Disney Studios, Burbank, California, United States",1923
"Rachel, Rachel",1968,Kayos Productions,Kayos Productions,,
Finian's Rainbow,1968,Warner Bros.-Seven Arts,Warner Bros.-Seven Arts,"4000 Warner Boulevard, Burbank, California, United States",1967
Ice Station Zebra,1968,Filmways,Filmways,"Sonoma County, California",1952
Planet of the Apes,1968,APJAC Productions,APJAC Productions,,
A Way Out of the Wilderness,1968,John Sutherland Productions,John Sutherland (producer),,
Chitty Chitty Bang Bang,1968,Warfield Productions,Warfield Productions,,
Chitty Chitty Bang Bang,1968,Dramatic Features,Dramatic Features,,
For Love of Ivy,1968,Palomar Pictures,List of production companies owned by the American Broadcasting Company,,1992
Other Voices,1970,DHS Films,DHS Films,,
Stolen Kisses,1968,Les Productions Artistes Associés,United Artists,"Culver City, California, United States",1919
The Boys of Paul Street,1969,Groskopf,Groskopf,,
The Boys of Paul Street,1969,MAFILM Stúdió 1,MAFILM Stúdió 1,,
The Girl with the Pistol,1968,Documento Film,Documento Film,,
The House That Jack Built,1967,National Film Board,National Film Board of Canada,"Montreal, Quebec, Canada",1939
The Revolving Door,1968,Vision Associates,Vision Associates,,
The Young Girls of Rochefort,1967,[1],,,
Midnight Cowboy,1969,Jerome Hellman Productions,Jerome Hellman Productions,,
Midnight Cowboy,1969,Mist Entertainment,Mist Entertainment,,
Butch Cassidy and the Sundance Kid,1969,Newman,Paul Newman,,
Butch Cassidy and the Sundance Kid,1969,Foreman,John Foreman (producer),,
"Hello, Dolly!",1969,Chenault Productions,Chenault Productions,,
Z,1969,Office National pour le Commerce et l'Industrie Cinématographique,Office National pour le Commerce et l'Industrie Cinématographique,,
Z,1969,Reggane Films,Reggane Films,,
Z,1969,Valoria Films,Valoria Films,,
Anne of the Thousand Days,1969,Hal Wallis Productions,Hal Wallis Productions,,
"They Shoot Horses, Don't They?",1969,ABC Pictures,List of production companies owned by the American Broadcasting Company,,1992
Cactus Flower,1969,Frankovich Productions,Frankovich Productions,,
Czechoslovakia 1968,1969,[4],,,
It's Tough to Be a Bird,1969,Walt Disney Productions,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
Bob & Carol & Ted & Alice,1969,Frankovich Productions,Frankovich Productions,,
"Gaily, Gaily",1969,The Mirisch Corporation,,,
Easy Rider,1969,Raybert Productions,,,
"Goodbye, Mr. Chips",1969,APJAC Productions,APJAC Productions,,
The Happy Ending,1969,Pax Enterprises,Richard Brooks,,
The Reivers,1969,Cinema Center Films,Cinema Center Films,"Hollywood, United States",1967
The Reivers,1969,Solar Productions,Steve McQueen,,
The Secret of Santa Vittoria,1969,The Stanley Kramer Corporation,The Stanley Kramer Corporation,,
The Sterile Cuckoo,1969,Boardwalk Productions,Boardwalk Productions,,
The Wild Bunch,1969,Warner Bros.-Seven Arts,Warner Bros.-Seven Arts,"4000 Warner Boulevard, Burbank, California, United States",1967
Battle of Neretva,1969,Jadran Film,,,
Battle of Neretva,1969,Commonwealth United Entertainment,Commonwealth United Entertainment,,
Blake,1969,National Film Board of Canada,National Film Board of Canada,"Montreal, Quebec, Canada",1939
"Goodbye, Columbus",1969,Willow Tree,Willow Tree,,
Jenny Is a Good Thing,1969,A.C.I. Productions,A.C.I. Productions,,
"Krakatoa, East of Java",1968,Security Pictures,Security Pictures,,
Last Summer,1969,Alsid Productions,Alsid Productions,,
My Night at Maud's,1969,Les Films du Losange,Les Films du Losange,"Paris, France",1962
Paint Your Wagon,1969,The Malpaso Company,Malpaso Productions,"Burbank, California, United States",1967
The Brothers Karamazov,1969,Mosfilm,Mosfilm,"Moscow, Russia",1924
The Damned,1969,Praesidens,Praesidens,,
The Damned,1969,Pegaso Cinematografica,Pegaso Cinematografica,,
The Damned,1969,Ital-Noleggio Cinematografico,Ital-Noleggio Cinematografico,,
The Damned,1969,Eichberg-Film,Eichberg-Film,,
The Wolf Men,1969,MGM,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Ryan's Daughter,1970,Faraway Productions,Faraway Productions,,
Airport,1970,Ross Hunter Productions,Ross Hunter Productions,,
Love Story,1970,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
M*A*S*H,1970,Aspen Productions,Aspen Productions,,
M*A*S*H,1970,Ingo Preminger Productions,Ingo Preminger Productions,,
Tora! Tora! Tora!,1970,Toei Company,Toei Company,"2-17 Ginza 3-chome, Chūō, Tokyo, Japan",1949
Women in Love,1969,Brandywine Productions,Brandywine Productions,United States,1969
Lovers and Other Strangers,1970,ABC Pictures,List of production companies owned by the American Broadcasting Company,,1992
Cromwell,1970,Irving Allen Productions,Irving Allen Productions,,
Investigation of a Citizen Above Suspicion,1970,Vera Film,Vera Film,,
Let It Be,1970,Apple Films,Apple Corps,"London, England",1968
Let It Be,1970,ABKCO Industries,ABKCO Records,"New York City, United States",1961
The Resurrection of Broncho Billy,1970,University of Southern California,University of Southern California,,1880
Five Easy Pieces,1970,BBS Productions,,,
Scrooge,1970,Cinema Center Films,Cinema Center Films,"Hollywood, United States",1967
Darling Lili,1970,Geoffrey Productions,Geoffrey Productions,,
The Great White Hope,1970,Lawrence Turman Films,Lawrence Turman Films,,
A Boy Named Charlie Brown,1969,Cinema Center Films,Cinema Center Films,"Hollywood, United States",1967
A Boy Named Charlie Brown,1969,Lee Mendelson/Bill Melendez Productions,Melendez Films,"London, England, United KingdomBurbank, California, United StatesHermosillo, Sonora, Mexico",1962
A Boy Named Charlie Brown,1969,United Feature Syndicate,United Feature Syndicate,"Chicago, United States",1919
Diary of a Mad Housewife,1970,Frank Perry Films Inc.,Frank Perry Films Inc.,,
Fellini Satyricon,1969,Produzioni Europee Associati,Alberto Grimaldi,,
I Girasoli,1970,Mosfilm,Mosfilm,"Moscow, Russia",1924
Joe,1970,Cannon Productions,"The Cannon Group, Inc.","United States(Also owned studios and cinema chains throughout the UK, Israel and Europe)",1967
Joe,1970,[1],,,
King: A Filmed Record... Montgomery to Memphis,1970,Commonwealth United Entertainment,Commonwealth United Entertainment,,
Little Big Man,1970,Cinema Center Films,Cinema Center Films,"Hollywood, United States",1967
Madron,1970,G.B.C.-Edric-Isracine Productions,G.B.C.-Edric-Isracine Productions,,
Say Goodbye,1971,Wolper Productions,David L. Wolper,,
The Baby Maker,1970,Robert Wise Productions,Robert Wise Productions,,
The Gifts,1970,Richter Productions,Richter Productions,,
The Hawaiians,1970,The Mirisch Production Company,,,
The Landlord,1970,Mirisch Company,,,
Time Is Running Out,1970,Gesellschaft für bildende Filme,Gesellschaft für bildende Filme,,
Tristana,1970,Les Films Corona,,,
The French Connection,1971,Philip D'Antoni Productions,Philip D'Antoni Productions,,
The French Connection,1971,Schine-Moore Productions,Schine-Moore Productions,,
Fiddler on the Roof,1971,The Mirisch Company,,,
The Last Picture Show,1971,BBS Productions,,,
Nicholas and Alexandra,1971,Horizon Pictures,,,
